episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
34, -5198.096879959106, 2, 18.4277288939993, 544, 38501,                                             38501, 12.95779800415039, 333.3714599609375
35, 330.67863351106644, 1, 31.65414093400068, 930, 39431,                                             39431, 12.371947288513184, 333.0173034667969
36, -2904.957833170891, 2, 9.402537636999114, 271, 39702,                                             39702, 12.842437744140625, 332.952880859375
37, -5505.765932738781, 2, 18.66304625399971, 554, 40256,                                             40256, 12.572985649108887, 329.7124938964844
38, -4081.9422165751457, 2, 15.776725373998488, 464, 40720,                                             40720, 12.511117935180664, 331.06439208984375
39, 1329.3745339661837, 1, 16.577636938998694, 491, 41211,                                             41211, 12.885096549987793, 327.7142639160156
40, -2671.965550661087, 2, 2.9573436619994027, 85, 41296,                                             41296, 12.03917121887207, 325.6568603515625
41, 1650.5296073555946, 1, 13.606800092000412, 397, 41693,                                             41693, 12.642923355102539, 324.1460876464844
42, -3264.661122739315, 3, 15.579362094000317, 455, 42148,                                             42148, 12.675745010375977, 325.71441650390625
43, 2371.3781712949276, 1, 4.774396496999543, 138, 42286,                                             42286, 12.365078926086426, 324.75762939453125
44, 1769.409836113453, 1, 12.360624564000318, 364, 42650,                                             42650, 11.894135475158691, 320.9862365722656
45, -4095.716617465019, 2, 14.850857228000677, 441, 43091,                                             43091, 11.797701835632324, 319.5509948730469
46, -2854.4185489416122, 2, 11.368644014000893, 328, 43419,                                             43419, 12.053607940673828, 314.3427734375
47, 2156.2921885848045, 1, 10.000179833999937, 293, 43712,                                             43712, 11.815199851989746, 314.47857666015625
48, -4526.371186971664, 2, 13.560781398000472, 401, 44113,                                             44113, 12.183977127075195, 312.6223449707031
49, -4540.400992035866, 2, 23.633256433000497, 695, 44808,                                             44808, 12.196966171264648, 310.1055603027344
50, -3312.559252679348, 2, 8.39146332600103, 247, 45055,                                             45055, 11.485746383666992, 306.9577331542969
51, -4694.372815132141, 2, 20.383432310998614, 604, 45659,                                             45659, 11.718945503234863, 304.9215087890625
52, -4685.977946162224, 2, 20.035288840999783, 584, 46243,                                             46243, 11.014569282531738, 303.2146911621094
53, 1753.9473588466644, 1, 11.752014551000684, 341, 46584,                                             46584, 11.105182647705078, 304.6022033691406
54, -154.63287669420242, 1, 17.247683120000147, 504, 47088,                                             47088, 11.148239135742188, 301.65753173828125
55, -4034.0882365703583, 2, 11.806852194000385, 350, 47438,                                             47438, 11.965031623840332, 302.3360595703125
56, 1679.87806391716, 1, 14.980937340998935, 433, 47871,                                             47871, 11.198846817016602, 300.9331970214844
57, -3268.3075193166733, 3, 14.010170903000471, 411, 48282,                                             48282, 11.507765769958496, 301.0689392089844
58, -6058.52635538578, 2, 15.185665529001199, 447, 48729,                                             48729, 11.118109703063965, 298.5902404785156
59, 1383.5282346010208, 1, 16.22822723200079, 480, 49209,                                             49209, 11.399903297424316, 297.7571105957031
60, -2749.180929541588, 3, 9.148706144000244, 271, 49480,                                             49480, 10.97972297668457, 295.686279296875
61, -3609.55118727684, 2, 7.958350234999671, 232, 49712,                                             49712, 11.32028865814209, 297.3778076171875
62, -4141.901191413403, 2, 18.17481431899978, 532, 50244,                                             50244, 11.192157745361328, 297.4572448730469
63, 343.3494580388069, 1, 13.573163363000276, 395, 50639,                                             50639, 11.48747444152832, 300.426025390625
64, -4237.414701342583, 2, 14.215261418999944, 420, 51059,                                             51059, 11.486494064331055, 299.0179443359375
65, 1465.9574222564697, 1, 14.977307290999306, 443, 51502,                                             51502, 11.198816299438477, 298.023681640625
66, -3940.043964982033, 2, 17.79589169099927, 525, 52027,                                             52027, 11.292017936706543, 298.66961669921875
67, 2330.162438362837, 1, 5.1600974289995065, 148, 52175,                                             52175, 11.10949993133545, 298.42108154296875
68, -988.2007321715355, 1, 20.604900289999932, 600, 52775,                                             52775, 11.423709869384766, 299.3928527832031
69, -4722.282468676567, 2, 28.889294774999144, 854, 53629,                                             53629, 11.506036758422852, 298.60711669921875
70, 1967.5695071220398, 1, 8.956630869000946, 257, 53886,                                             53886, 11.631467819213867, 300.22705078125
